breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,sizes,product_details,URL
"Men,Designers,Dolce & Gabbana,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/4d/P00937459.jpg,Dolce&Gabbana,Patent leather ankle boots,€ 920,€ 552,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Black,Closure: elasticated sides,Item number: P00937459,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/dolce-gabbana-patent-leather-ankle-boots-black-p00937459
"Men,Designers,Tom Ford,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/7d/P00945682.jpg,Tom Ford,Cambridge suede sneakers,€ 605,€ 363,40% off,"UK 6 / EU 39.5,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: calf leather,Lining: calf leather, goat leather,Sole: rubber insole and sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: 3JW01 Taupe + Cream,Trim: brass,Details: fabric,Item number: P00945682,True to size,Half sizes please take the next size down,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-cambridge-suede-sneakers-beige-p00945682
"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/43/P00937460.jpg,Dolce&Gabbana,DG Cushion suede-trimmed sneakers,€ 465,€ 325,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather, fabric,Lining: leather, fabric,Sole: rubber insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Beige/ Nero,Item number: P00937460,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/dolce-gabbana-dg-cushion-suede-trimmed-sneakers-beige-p00937460
"Men,Designers,Valentino Garavani,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/e4/P00953933.jpg,Valentino Garavani,EasyJog VLogo leather-trimmed sneakers,€ 715,€ 357,50% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: fabric, leather, rubber,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags, extra laces,Designer color name: Nero/New Chinos,Closure: lace-up,Trim: leather,Item number: P00953933,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/valentino-garavani-easyjog-vlogo-leather-trimmed-sneakers-multicoloured-p00953933
"Men,Designers,Loewe,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/41/P00956030.jpg,Loewe,Bloc denim sneakers,€ 505,€ 353,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: fabric,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Spain,Includes: shoe box, dust bags,Designer color name: Raw Denim,Closure: lace-up,Item number: P00956030,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/loewe-bloc-denim-sneakers-blue-p00956030
"Men,Designers,Dolce & Gabbana,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/93/P00947948.jpg,Dolce&Gabbana,Milano leather-trimmed velvet loafers,€ 830,€ 498,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: fabric,Lining: leather,Sole: leather insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Nero,Item number: P00947948,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/dolce-gabbana-milano-leather-trimmed-velvet-loafers-black-p00947948
"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots",https://www.mytheresa.com/media/1094/1238/100/0d/P00947867.jpg,Manolo Blahnik,Buloko leather combat boots,"€ 1,255",€ 753,40% off,"UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43,UK 10 / EU 44,UK 11 / EU 45,UK 12 / EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box,Designer color name: Black,Item number: P00947867,True to size,Half sizes please take the next size up,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/manolo-blahnik-buloko-leather-combat-boots-black-p00947867
"Men,Designers,Tom Ford,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/07/P00945413.jpg,Tom Ford,Nicolas leopard-print calf hair loafers,"€ 1,000",€ 600,40% off,"UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: calf hair,Lining: leather,Sole: leather insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Tobacco Brown/Chocolate,Item number: P00945413,True to size,Narrow at the back,Half sizes please take the next size down,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-nicolas-leopard-print-calf-hair-loafers-brown-p00945413
"Men,Designers,Lemaire,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/26/P00962902.jpg,Lemaire,Leather Chelsea boots,€ 655,€ 458,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Portugal,Includes: shoe box, dust bags,Designer color name: Black,Item number: P00962902,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/lemaire-leather-chelsea-boots-black-p00962902
"Men,Designers,Burberry,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/ad/P00980014.jpg,Burberry,Leather Chelsea boots,€ 830,€ 498,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather, rubber, polyester,Lining: fabric,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Loch,Closure: elasticated sides,Item number: P00980014,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/burberry-leather-chelsea-boots-green-p00980014
"Men,Designers,Loewe,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/70/P00956065.jpg,Loewe,Terra Vulca suede sneakers,€ 545,€ 327,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: suede,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Spain,Includes: dust bags, shoe box,Designer color name: Lilac,Item number: P00956065,Fits small to size - we recommend trying one size larger,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/loewe-terra-vulca-suede-sneakers-purple-p00956065
"Men,Designers,Acne Studios,Shoes,Boots,Ankle boots",https://www.mytheresa.com/media/1094/1238/100/8c/P00951765.jpg,Acne Studios,Shearling-lined suede ankle boots,€ 750,€ 450,40% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: suede,Lining: shearling,Sole: rubber insole and sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Tobacco Broqn,Item number: P00951765,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/acne-studios-shearling-lined-suede-ankle-boots-brown-p00951765
"Men,Designers,Acne Studios,Shoes,Boots,Ankle boots",https://www.mytheresa.com/media/1094/1238/100/e9/P00951764.jpg,Acne Studios,Trompe l'œil leather snow boots,€ 750,€ 450,40% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Multi Blue,Item number: P00951764,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/acne-studios-trompe-loeil-leather-snow-boots-blue-p00951764
"Men,Designers,Valentino Garavani,Shoes,Formal shoes,Oxford",https://www.mytheresa.com/media/1094/1238/100/69/P00939276.jpg,Valentino Garavani,Mini VLogo Signature leather Derby shoes,€ 750,€ 525,30% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Nero,Item number: P00939276,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/valentino-garavani-mini-vlogo-signature-leather-derby-shoes-black-p00939276
"Men,Designers,Burberry,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/b9/P00980029.jpg,Burberry,Leather sneakers,€ 750,€ 450,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: fabric,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Black,Closure: lace-up,Item number: P00980029,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/burberry-leather-sneakers-black-p00980029
"Men,Designers,Marni,Shoes,Boots,Lace up boots",https://www.mytheresa.com/media/1094/1238/100/40/P00937278.jpg,Marni,Leather and suede desert boots,€ 585,€ 409,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Spain,Includes: shoe box,Designer color name: Black/Sand,Item number: P00937278,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/marni-leather-and-suede-desert-boots-beige-p00937278
"Men,Designers,Valentino Garavani,Shoes,Sandals & slides",https://www.mytheresa.com/media/1094/1238/100/f7/P00939284.jpg,Valentino Garavani,VLogo leather sandals,€ 630,€ 378,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round open toe,Made in Italy,Includes: dust bags, shoe box,Designer color name: Nero,Item number: P00939284,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/valentino-garavani-vlogo-leather-sandals-black-p00939284
"Men,Designers,Tom Ford,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/a5/P00945414.jpg,Tom Ford,Nicolas velvet loafers,€ 965,€ 579,40% off,"UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: fabric,Lining: leather,Sole: leather insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Black,Item number: P00945414,Fits small to size - we recommend trying one size larger,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-nicolas-velvet-loafers-black-p00945414
"Men,Designers,Brioni,Shoes,Formal shoes,Monk strap",https://www.mytheresa.com/media/1094/1238/100/ce/P00938814.jpg,Brioni,Leather monk strap shoes,"€ 1,085",€ 759,30% off,"UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43,UK 10 / EU 44,UK 11 / EU 45,UK 12 / EU 46,UK 13 / EU 47","Upper: leather,Lining: leather,Sole: leather insole and sole,Toe shape: round toe,Made in Italy,Includes: dust bags, shoe box,Designer color name: Black,Closure: buckle fastening,Item number: P00938814,True to size,Half sizes please take the next size up,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/brioni-leather-monk-strap-shoes-black-p00938814
"Men,Designers,Valentino Garavani,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/93/P00939342.jpg,Valentino Garavani,VLogo Easyjog leather-trimmed sneakers,€ 715,€ 357,50% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: fabric,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bags, extra laces,Designer color name: Sunny Beige/S.B-Parrot,Closure: lace-up,Trim: leather,Item number: P00939342,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/valentino-garavani-vlogo-easyjog-leather-trimmed-sneakers-beige-p00939342
"Men,Designers,Dolce & Gabbana,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/ac/P00947953.jpg,Dolce&Gabbana,Woven leather driving shoes,€ 995,€ 597,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: goat leather,Lining: leather,Sole: leather insole and sole,Toe shape: square toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Nero,Item number: P00947953,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/dolce-gabbana-driver-woven-leather-loafers-black-p00947953
"Men,Designers,Acne Studios,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/7c/P00942021.jpg,Acne Studios,Logo suede-trimmed leather sneakers,€ 380,€ 228,40% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: calf leather,Lining: fabric,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Yellow/Black,Closure: lace-up,Item number: P00942021,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/acne-studios-logo-suede-trimmed-sneakers-yellow-p00942021
"Men,Designers,Burberry,Shoes,Derby Shoes",https://www.mytheresa.com/media/1094/1238/100/fe/P00957632.jpg,Burberry,Leather platform lace-up boots,€ 715,€ 500,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: extra laces, dust bags, shoe box,Designer color name: Loch,Closure: lace-up,Item number: P00957632,True to size,Half sizes please take the next size down,European sizes,5,5cm-2"" heel (size EU 42)  ,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/burberry-leather-platform-lace-up-loafers-green-p00957632
"Men,Designers,Tom Ford,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/1c/P00945408.jpg,Tom Ford,Warwick suede sneakers,€ 665,€ 465,30% off,"UK 6 / EU 39.5,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: extra laces, dust bags, shoe box,Designer color name: Navy + Cream,Closure: lace-up,Item number: P00945408,True to size,Half sizes please take the next size up,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-warwick-suede-sneakers-brown-p00945408
"Men,Designers,Balenciaga,Shoes,Sandals & slides",https://www.mytheresa.com/media/1094/1238/100/32/P00954700.jpg,Balenciaga,Sunday suede sandals,€ 500,€ 350,30% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: calf leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round open toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Brown,Item number: P00954700,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/balenciaga-sunday-suede-sandals-brown-p00954700
"Men,Designers,Dolce & Gabbana,Shoes,Sandals & slides",https://www.mytheresa.com/media/1094/1238/100/0b/P00947959.jpg,Dolce&Gabbana,DG suede slides,€ 685,€ 411,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round open toe,Made in Italy,Includes: dust bags, shoe box,Designer color name: Nocciola,Item number: P00947959,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/dolce-gabbana-dg-suede-slides-brown-p00947959
"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/39/P00947944.jpg,Dolce&Gabbana,Aria DG suede sneakers,€ 465,€ 325,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: calf leather,Lining: fabric,Sole: leather insole, rubber sole,Toe shape: almond toe,Made in Italy,Includes: dust bag, shoe box,Designer color name: Khaki,Closure: lace-up,Item number: P00947944,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/dolce-gabbana-aria-dg-suede-sneakers-green-p00947944
"Men,Designers,Loewe,Shoes,Derby Shoes",https://www.mytheresa.com/media/1094/1238/100/fc/P00956067.jpg,Loewe,Faro leather loafers,€ 755,€ 453,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Dark Brown,Item number: P00956067,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/loewe-faro-leather-loafers-brown-p00956067
"Men,Designers,Loewe,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/de/P00956075.jpg,Loewe,Campo brushed suede Chelsea boots,€ 840,€ 504,40% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: leather,Lining: leather,Sole: leather insole and sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Khaki Green,Item number: P00956075,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/loewe-campo-brushed-suede-chelsea-boots-green-p00956075
"Men,Designers,Tom Ford,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/93/P00945421.jpg,Tom Ford,Cavendish suede biker boots,"€ 1,255",€ 753,40% off,"UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: leather,Lining: leather,Sole: rubber insole and sole,Toe shape: square toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Wood,Item number: P00945421,True to size,Half sizes please take the next size up,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-cavendish-suede-biker-boots-brown-p00945421
"Men,Designers,Tom Ford,Shoes,Espadrilles",https://www.mytheresa.com/media/1094/1238/100/74/P00945406.jpg,Tom Ford,Barnes suede espadrilles,€ 495,€ 346,30% off,"UK 6 / EU 39.5,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: suede,Lining: leather,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Spain,Includes: shoe box,Designer color name: Sky Blue + Ecru,Item number: P00945406,Fits small to size - we recommend trying one size larger,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-barnes-suede-espadrilles-blue-p00945406
"Men,Designers,Manolo Blahnik,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/0d/P00947889.jpg,Manolo Blahnik,Ellis leather penny loafers,€ 545,€ 327,40% off,"UK 6 / EU 40,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43,UK 10 / EU 44,UK 11 / EU 45,UK 12 / EU 46","Upper: calf leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: almond toe,Made in Italy,Includes: dust bag, shoe box,Designer color name: 0215 Dgry,Item number: P00947889,True to size,Half sizes please take the next size down,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/manolo-blahnik-ellis-leather-penny-loafers-grey-p00947889
"Men,Designers,Loewe,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/09/P00956064.jpg,Loewe,Terra Vulca suede slip-on sneakers,€ 505,€ 303,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: suede,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Spain,Includes: dust bag, shoe box,Designer color name: Olive,Item number: P00956064,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/loewe-terra-vulca-suede-slip-on-sneakers-green-p00956064
"Men,Designers,Manolo Blahnik,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/4a/P00947918.jpg,Manolo Blahnik,Truro suede loafers,€ 695,€ 417,40% off,"UK 6 / EU 40,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43,UK 10 / EU 44,UK 11 / EU 45,UK 12 / EU 46","Upper: leather,Lining: leather,Sole: leather insole and sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: 5011 Dpur,Item number: P00947918,Fits slightly large to size - we recommend trying a half size smaller,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/manolo-blahnik-truro-suede-loafers-grey-p00947918
"Men,Designers,Tom Ford,Shoes,Espadrilles",https://www.mytheresa.com/media/1094/1238/100/b5/P00945407.jpg,Tom Ford,Barnes suede espadrilles,€ 495,€ 346,30% off,"UK 6 / EU 39.5,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: calf leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Spain,Includes: shoe box, dust bags,Designer color name: Walnut + Snuff,Trim: jute,Item number: P00945407,Fits small to size - we recommend trying one size larger,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-barnes-suede-espadrilles-brown-p00945407
"Men,Designers,Tom Ford,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/98/P00945404.jpg,Tom Ford,Jake leather sneakers,€ 665,€ 465,30% off,"UK 6 / EU 39.5,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: leather,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box,Designer color name: Marble + Ivory,Closure: lace-up,Item number: P00945404,True to size,Half sizes please take the next size up,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-jake-leather-sneakers-white-p00945404
"Men,Designers,Tom Ford,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/90/P00945417.jpg,Tom Ford,York Chain suede loafers,€ 965,€ 482,50% off,"UK 6 / EU 39.5,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43.5,UK 10 / EU 44.5,UK 11 / EU 45.5,UK 12 / EU 47,UK 13 / EU 48","Upper: leather,Lining: leather,Sole: leather insole and sole,Toe shape: round toe,Made in Italy,Includes: dust bags, shoe box,Designer color name: Black,Item number: P00945417,Fits small to size - we recommend trying one size larger,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tom-ford-york-chain-suede-loafers-black-p00945417
"Men,Designers,Loewe,Shoes,Sandals & slides",https://www.mytheresa.com/media/1094/1238/100/d1/P00883889.jpg,Loewe,Campo leather fisherman sandals ,€ 845,€ 507,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45","Upper: leather,Lining: leather,Sole: leather insole and sole,Toe shape: round open toe,Made in Italy,Includes: dust bag, shoe box,Designer color name: Black,Closure: buckle fastening,Item number: P00883889,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/loewe-campo-leather-fisherman-sandals-black-p00883889
"Men,Designers,Brunello Cucinelli,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/97/P00932898.jpg,Brunello Cucinelli,Woven suede penny loafers,"€ 1,005",€ 603,40% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: calf leather,Lining: leather,Sole: leather insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box,Designer color name: Twine,Item number: P00932898,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/brunello-cucinelli-suede-loafers-beige-p00932898
"Men,Designers,Brunello Cucinelli,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/23/P00932894.jpg,Brunello Cucinelli,Woven suede penny loafers,"€ 1,005",€ 603,40% off,"EU 40,EU 41,EU 42,EU 42.5,EU 43,EU 43.5,EU 44,EU 44.5,EU 45,EU 46","Upper: calf leather,Lining: leather,Sole: leather insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box,Designer color name: Medium Blue,Item number: P00932894,True to size,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/brunello-cucinelli-suede-loafers-blue-p00932894
"Men,Designers,Burberry,Shoes,Boots,Ankle boots",https://www.mytheresa.com/media/1094/1238/100/1f/P00896269.jpg,Burberry,Burberry Check rain boots,€ 585,€ 409,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: rubber,Lining: rubber,Sole: rubber insole and sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Green,Item number: P00896269,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/burberry-marsh-burberry-check-ankle-boots-green-p00896269
"Men,Designers,Burberry,Shoes,Loafers",https://www.mytheresa.com/media/1094/1238/100/56/P00932563.jpg,Burberry,EKD leather loafers,€ 835,€ 584,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46,EU 47,EU 48","Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: square toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Black,Item number: P00932563,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/burberry-shield-ekd-leather-loafers-black-p00932563
"Men,Designers,Brunello Cucinelli,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/c5/P00932931.jpg,Brunello Cucinelli,Suede slip-on sneakers,€ 635,€ 444,30% off,"EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: suede,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: dust bag, shoe box,Designer color name: Light Brown 01,Item number: P00932931,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/brunello-cucinelli-suede-sneakers-brown-p00932931
