breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,sizes,product_details,URL
"Men,Designers,Salomon,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/6a/P00951815.jpg,Salomon,X-T4 OG sneakers,€ 160,€ 128,20% off,"UK 6 / EU 39 1/3,UK 6.5 / EU 40,UK 7 / EU 40 2/3,UK 7.5 / EU 41 1/3,UK 8 / EU 42,UK 8.5 / EU 42 2/3,UK 9 / EU 43 1/3,UK 9.5 / EU 44,UK 10 / EU 44 2/3,UK 10.5 / EU 45 1/3,UK 11 / EU 46,UK 11.5 / EU 46 2/3,UK 12 / EU 47 1/3,UK 12.5 / EU 48","Upper: fabric,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in China,Includes: shoe box,Designer color name: Sharkskin/Dawn Blue/Metal,Item number: P00951815,Fits slightly small to size - we recommend trying a half size larger,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/salomon-x-t4-og-sneakers-silver-p00951815
"Men,Designers,DRKSHDW by Rick Owens,Shoes,Slippers",https://www.mytheresa.com/media/1094/1238/100/f3/P00951925.jpg,DRKSHDW by Rick Owens,Puffer slip-on shoes,€ 420,€ 294,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46,EU 47","Upper: fabric,Lining: fabric,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Black/Milk,Item number: P00951925,True to size,Half sizes please take the next size up,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/drkshdw-by-rick-owens-puffer-slip-on-shoes-black-p00951925
"Men,Designers,Rick Owens,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/fe/P00948850.jpg,Rick Owens,Mega Tractor leather biker boots,€ 975,€ 682,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: leather,Lining: leather,Sole: rubber insole and sole,Toe shape: round toe,Made in Italy,Includes: shoe box,Designer color name: Black,Item number: P00948850,True to size,Half sizes please take the next size down,European sizes,9,0cm-3.5"" heel (size EU 42)  ,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/rick-owens-mega-tractor-leather-biker-boots-black-p00948850
"Men,Designers,Maison Margiela,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/71/P00944276.jpg,Maison Margiela,Recicla Replica checked sneakers,€ 555,€ 277,50% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: fabric,Lining: fabric,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box,Designer color name: Burgundy,Closure: lace-up,Item number: P00944276,True to size,Half sizes please take the next size down,European sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/maison-margiela-recicla-replica-checked-sneakers-burgundy-p00944276
"Men,Designers,George Cleverley,Shoes,Boots,Ankle boots",https://www.mytheresa.com/media/1094/1238/100/17/P00964655.jpg,George Cleverley,Taron II leather lace-up boots,€ 800,€ 480,40% off,"UK 6 / EU 40,UK 7 / EU 41,UK 7.5 / EU 41.5,UK 8 / EU 42,UK 8.5 / EU 42.5,UK 9 / EU 43,UK 9.5 / EU 43.5,UK 10 / EU 44,UK 10.5 / EU 44.5,UK 11 / EU 45,UK 12 / EU 46,UK 13 / EU 47","Upper: leather, rubber,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in the UK,Includes: shoe box, dust bags,Designer color name: Black,Closure: lace-up,Item number: P00964655,True to size,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/george-cleverley-taron-ii-leather-lace-up-boots-black-p00964655
"Men,Designers,Hoka One One,Shoes,Sneakers,Low-Top",https://www.mytheresa.com/media/1094/1238/100/b6/P00970168.jpg,Hoka One One,Clifton 9 running shoes,€ 125,€ 100,20% off,"US 7 / EU 40,US 8 / EU 41 1/3,US 9 / EU 42 2/3,US 10 / EU 44,US 11 / EU 45 1/3","Upper: fabric, rubber,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box,Designer color name: Obsidian / Quartzite,Closure: lace-up,Item number: P00970168,Fits small to size - we recommend trying one size larger,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/hoka-one-one-clifton-9-running-shoes-black-p00970168
"Men,Designers,Salomon,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/92/P00951804.jpg,Salomon,XT PU.RE Advanced running shoes,€ 185,€ 148,20% off,"UK 6 / EU 39 1/3,UK 6.5 / EU 40,UK 7 / EU 40 2/3,UK 7.5 / EU 41 1/3,UK 8 / EU 42,UK 8.5 / EU 42 2/3,UK 9 / EU 43 1/3,UK 9.5 / EU 44,UK 10 / EU 44 2/3,UK 10.5 / EU 45 1/3,UK 11 / EU 46,UK 11.5 / EU 46 2/3,UK 12 / EU 47 1/3,UK 12.5 / EU 48","Upper: fabric,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box,Designer color name: Gray Violet/Flint Gray,Closure: dial cable lace,Item number: P00951804,Fits slightly small to size - we recommend trying a half size larger,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/salomon-xt-pu-re-advanced-running-shoes-white-p00951804
"Men,Designers,George Cleverley,Shoes,Boots,Chelsea boots",https://www.mytheresa.com/media/1094/1238/100/46/P00964637.jpg,George Cleverley,Jason suede Chelsea boots,€ 700,€ 280,60% off,"UK 6 / EU 40,UK 7 / EU 41,UK 7.5 / EU 41.5,UK 8 / EU 42,UK 8.5 / EU 42.5,UK 9 / EU 43,UK 9.5 / EU 43.5,UK 10 / EU 44,UK 10.5 / EU 44.5,UK 11 / EU 45,UK 12 / EU 46,UK 13 / EU 47","Upper: leather, rubber,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in the UK,Includes: shoe box, dust bags,Designer color name: Light Grey,Item number: P00964637,Fits slightly small to size - we recommend trying a half size larger,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/george-cleverley-jason-suede-chelsea-boots-grey-p00964637
"Men,Designers,On,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/80/P00960526.jpg,On,Cloudrunner 2 sneakers,€ 150,€ 120,20% off,"US 7 / EU 40,US 8 / EU 41,US 9 / EU 42.5,US 10 / EU 44,US 11 / EU 45,US 12 / EU 47,US 13 / EU 48","Upper: fabric,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box,Designer color name: Olive | Mahogany,Item number: P00960526,True to size,Half sizes please take the next size down,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/on-cloudrunner-2-sneakers-green-p00960526
"Men,Designers,Tod's,Shoes,Boots,Ankle boots",https://www.mytheresa.com/media/1094/1238/100/08/P00954556.jpg,Tod's,Suede lace-up boots,€ 715,€ 500,30% off,"UK 6 / EU 39.5,UK 7 / EU 40.5/41,UK 7.5 / EU 41/41.5,UK 8 / EU 42,UK 8.5 / EU 42.5/43,UK 9 / EU 43/43.5,UK 9.5 / EU 44,UK 10 / EU 44.5,UK 10.5 / EU 45/45.5,UK 11 / EU 45.5/46,UK 11.5 / EU 46.5,UK 12 / EU 47,UK 13 / EU 48/48.5","Upper: calf leather,Lining: shearling,Sole: shearling insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Biscotto Fmc C210 Fondo Orzo,Closure: lace-up,Item number: P00954556,True to size,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/tods-suede-lace-up-boots-beige-p00954556
